id,type,title,parentid
0B1qO9IFXquq6ckhsRjVLZWZNanZ6NFY4c25Xa2VhNUdLSG1B,file,Screenshot_confirmation_email.html,0AFqO9IFXquq6Uk9PVA
11UYmHOL34uCEZRPWeZmiYjVYxg7Iz9ztZ7nxxdiaJkg,spreadsheet,"Copy of Cassandra Usage Survey, Public Responses",0AFqO9IFXquq6Uk9PVA
1TDygcRbolo8OE6HuqHrRjTtAAe-n33LMCD5r0CMVqxA,document,MSP/Reseller -> Auth/Send flows,0B1qO9IFXquq6N2hEZml6VlNRX1E
1dBqIYte64dtaJE8amchbsxcPKvYrXXEfX83udk5NBTQ,spreadsheet,Partner User Permissions DB tables,0B1qO9IFXquq6N2hEZml6VlNRX1E
1G2iBF6htVGh0fJuuGQaOE48lUi-DRTxPSApqQ2W5n6I,presentation,Partner User Permissions Models,0B1qO9IFXquq6N2hEZml6VlNRX1E
17IitS_XyyXmIoAiIFqy-i9ZaIiADkJX_-S94NDP2yew,spreadsheet,Permissions Grid,0B1qO9IFXquq6N2hEZml6VlNRX1E
1OzvfuNkw0AqgUZueA6R8ENHfwC3ZU045zMrIrTLK1ao,spreadsheet,DataPoints Source,0B1qO9IFXquq6MkpxbDZfWVA4Rms
1c0RWzfRDQg1FSZH6u-sShIWI2pZGD6PV0xjxY-1U2eg,document,Customer Churn Predictor Proposal,0B1qO9IFXquq6MkpxbDZfWVA4Rms
0B1qO9IFXquq6MkpxbDZfWVA4Rms,folder,DataScience Project Proposal,0AFqO9IFXquq6Uk9PVA
12F7b_vLbMctuH87JXNdvVxOFVDu-o9Ij6JsTQVApuYI,drawing,Untitled drawing,0AFqO9IFXquq6Uk9PVA
0B8DeJlPl0N1sVnlKWmZRQ2s3YlU,folder,Testing Posters,0AFqO9IFXquq6Uk9PVA
1GaWuyaftX3Uz1XJKc_SEQbo6hcMMAOrzuGfrSxSa9e8,spreadsheet,DataScience Churn,0B1qO9IFXquq6MkpxbDZfWVA4Rms
1NQ4asFhmDZhwPu2JdYwodAlwG0LI1tW0FNqhNe_0RNc,document,Partner's Users Plan,0B1qO9IFXquq6N2hEZml6VlNRX1E
1ZR-JxsBX_Aytl_LOo-3MPiols37ilXUC47jhDd2qN30,document,Overall Plan Backupify Partner Portal,0B1qO9IFXquq6N2hEZml6VlNRX1E
1eBLoPttUdSj1_ysyEjXrgGdMKGXNW-1Ur5Lhti2Nf3Y,document,Untitled document,0B1qO9IFXquq6N2hEZml6VlNRX1E
1Ubeds80DnXplpDpYmglBm6pJN4eVzz-QxLaLhgKLEoU,document,Provisioning Service Plan,0B1qO9IFXquq6N2hEZml6VlNRX1E
0B1qO9IFXquq6QUNuRllDRC10OUU,file,missing_CDR_documents.csv,0B1qO9IFXquq6cjR3cHhuWFQ5QTg
0B1qO9IFXquq6cjR3cHhuWFQ5QTg,folder,CDR - recovery,0AFqO9IFXquq6Uk9PVA
1MJTkLFQERPw6GmXzgfd-RfLeG0_mmK3bfhCptgHqANs,document,Sequencing of work,0B1qO9IFXquq6N2hEZml6VlNRX1E
0B1qO9IFXquq6dHdkWW81TGhRVURUQVBvTF9lN2xzc0xhaHdr,file,IMG_0922.JPG,0AFqO9IFXquq6Uk9PVA
1dDQbngX5wmVi9ddEC77HmEmy9nG3TiBPDHcMEWOO9Tw,document,Copy of Backupify Portal minimum requirements user stories,0AFqO9IFXquq6Uk9PVA
1zBGhMYhtvTdd_PMsnUnZ-ZGRWxWOaM6m_SEEmWWkiCw,document,Backupify-Partner Portal Intergration,0B1qO9IFXquq6N2hEZml6VlNRX1E
0B1qO9IFXquq6N2hEZml6VlNRX1E,folder,portal intergration,0AFqO9IFXquq6Uk9PVA
1LIQeY6m2ZLdfnEFk5xjgWdfywN-Ij9b2lJmNQ9f9T-I,drawing,Game Plan for Sharepoint,0B1qO9IFXquq6UlVZY2xQYmVadEk
